"search-number","evaluation","evals-requested-so-far","sun-brightness*","albedo*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","33","160","0.2","0.5","""994847040""","15.73583820725285","15.73583820725285","15.73583820725285","0","15.73583820725285"
"1","34","160","0.2","0.5","""2121022162""","16.38937782307066","16.38937782307066","16.38937782307066","0","16.38937782307066"
"1","35","160","0.2","0.5","""-2084307060""","14.995010924543386","14.995010924543386","14.995010924543386","0","14.995010924543386"
"1","36","160","0.2","0.5","""1760762890""","14.69644675316054","14.69644675316054","14.69644675316054","0","14.69644675316054"
"1","37","160","0.2","0.5","""-1233350904""","16.71736365590307","16.71736365590307","16.71736365590307","0","16.71736365590307"
"1","38","160","0.2","0.5","""-663606488""","16.0359181017849","16.0359181017849","16.0359181017849","0","16.0359181017849"
"1","39","160","0.2","0.5","""964634456""","16.107221003621664","16.107221003621664","16.107221003621664","0","16.107221003621664"
"1","40","160","0.2","0.5","""864181775""","15.19022962358885","15.19022962358885","15.19022962358885","0","15.19022962358885"
"1","41","160","3.8000000000000003","0.45","""273073313""","39.20780556412587","39.20780556412587","39.20780556412587","0","39.20780556412587"
"1","42","160","3.8000000000000003","0.45","""405460195""","38.379464911942755","38.379464911942755","38.379464911942755","0","38.379464911942755"
"1","43","160","3.8000000000000003","0.45","""982504628""","37.035495127076594","37.035495127076594","37.035495127076594","0","37.035495127076594"
"1","44","160","3.8000000000000003","0.45","""1754319181""","36.08356454427262","36.08356454427262","36.08356454427262","0","36.08356454427262"
"1","45","160","3.8000000000000003","0.45","""123676712""","38.57567832534785","38.57567832534785","38.57567832534785","0","38.57567832534785"
"1","46","160","3.8000000000000003","0.45","""1728260826""","37.17157035313899","37.17157035313899","37.17157035313899","0","37.17157035313899"
"1","47","160","3.8000000000000003","0.45","""224355502""","38.70612407859432","38.70612407859432","38.70612407859432","0","38.70612407859432"
"1","48","160","3.8000000000000003","0.45","""1346024655""","36.20186046223617","36.20186046223617","36.20186046223617","0","36.20186046223617"
"1","49","160","3.8000000000000003","0.45","""-1871916339""","37.69118134101415","37.69118134101415","37.69118134101415","0","37.69118134101415"
"1","50","160","3.8000000000000003","0.45","""469447816""","38.85327604972836","38.85327604972836","38.85327604972836","0","38.85327604972836"
"1","51","160","0.4","1","""387601719""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","52","160","0.4","1","""-1882605318""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","53","160","0.4","1","""-897803032""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","54","160","0.4","1","""519792767""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","55","160","0.4","1","""-717183804""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","56","160","0.4","1","""-1471564900""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","57","160","0.4","1","""-476887430""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","58","160","0.4","1","""566287756""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","59","160","0.4","1","""630790413""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","60","160","0.4","1","""-58915102""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","61","160","2.8000000000000003","0","""-722507794""","42.08552383078902","42.08552383078902","42.08552383078902","0","42.08552383078902"
"1","62","160","2.8000000000000003","0","""-1340080746""","43.22052261038956","43.22052261038956","43.22052261038956","0","43.22052261038956"
"1","63","160","2.8000000000000003","0","""-2072602845""","42.163014941630664","42.163014941630664","42.163014941630664","0","42.163014941630664"
"1","64","160","2.8000000000000003","0","""1145432598""","40.430042101821456","40.430042101821456","40.430042101821456","0","40.430042101821456"
"1","65","160","2.8000000000000003","0","""-511562869""","41.184124001479006","41.184124001479006","41.184124001479006","0","41.184124001479006"
"1","66","160","2.8000000000000003","0","""972925242""","42.78603667640719","42.78603667640719","42.78603667640719","0","42.78603667640719"
"1","67","160","2.8000000000000003","0","""-1044835961""","41.64040968321937","41.64040968321937","41.64040968321937","0","41.64040968321937"
"1","68","160","2.8000000000000003","0","""1488695686""","42.46173203319211","42.46173203319211","42.46173203319211","0","42.46173203319211"
"1","69","160","2.8000000000000003","0","""762945485""","40.17098744786711","40.17098744786711","40.17098744786711","0","40.17098744786711"
"1","70","160","2.8000000000000003","0","""2122470725""","42.6402053753827","42.6402053753827","42.6402053753827","0","42.6402053753827"
"1","71","160","2.8000000000000003","0.2","""-1112276418""","39.02985474579721","39.02985474579721","39.02985474579721","0","39.02985474579721"
"1","72","160","2.8000000000000003","0.2","""-927765238""","39.713008368732936","39.713008368732936","39.713008368732936","0","39.713008368732936"
"1","73","160","2.8000000000000003","0.2","""-1669207916""","39.192844458868684","39.192844458868684","39.192844458868684","0","39.192844458868684"
"1","74","160","2.8000000000000003","0.2","""665307850""","39.205986049633424","39.205986049633424","39.205986049633424","0","39.205986049633424"
"1","75","160","2.8000000000000003","0.2","""-130082506""","38.68651374128995","38.68651374128995","38.68651374128995","0","38.68651374128995"
"1","76","160","2.8000000000000003","0.2","""-741784037""","38.48420440622619","38.48420440622619","38.48420440622619","0","38.48420440622619"
"1","77","160","2.8000000000000003","0.2","""1115515532""","38.79009557571503","38.79009557571503","38.79009557571503","0","38.79009557571503"
"1","78","160","2.8000000000000003","0.2","""-1398881397""","37.05001124782924","37.05001124782924","37.05001124782924","0","37.05001124782924"
"1","79","160","2.8000000000000003","0.2","""1569362584""","39.10364104637155","39.10364104637155","39.10364104637155","0","39.10364104637155"
"1","80","160","2.8000000000000003","0.2","""-1303873448""","37.3702708391296","37.3702708391296","37.3702708391296","0","37.3702708391296"
"1","81","160","3.4000000000000004","0.05","""-1067159362""","43.070793268692846","43.070793268692846","43.070793268692846","0","43.070793268692846"
"1","82","160","3.4000000000000004","0.05","""1325770798""","42.93127095796222","42.93127095796222","42.93127095796222","0","42.93127095796222"
"1","83","160","3.4000000000000004","0.05","""1797028128""","42.363367694382646","42.363367694382646","42.363367694382646","0","42.363367694382646"
"1","84","160","3.4000000000000004","0.05","""1485007861""","42.99957322083091","42.99957322083091","42.99957322083091","0","42.99957322083091"
"1","85","160","3.4000000000000004","0.05","""1571241273""","44.15525116378163","44.15525116378163","44.15525116378163","0","44.15525116378163"
"1","86","160","3.4000000000000004","0.05","""-2037764760""","43.328749386949895","43.328749386949895","43.328749386949895","0","43.328749386949895"
"1","87","160","3.4000000000000004","0.05","""366675560""","42.78371766267239","42.78371766267239","42.78371766267239","0","42.78371766267239"
"1","88","160","3.4000000000000004","0.05","""-1818770538""","43.94276324909441","43.94276324909441","43.94276324909441","0","43.94276324909441"
"1","89","160","3.4000000000000004","0.05","""-901753199""","42.10336037493338","42.10336037493338","42.10336037493338","0","42.10336037493338"
